series,parameter,lifelines,subformulas,variables,iterations,repeats,local_action_us,local_action_iqr_us,local_action_range_us,send_us,send_iqr_us,send_range_us,receive_us,receive_iqr_us,receive_range_us,message_metadata_bytes
running_example,guard,4,16,1,300,9,46.933,0.121,1.508,69.393,0.393,2.38,72.295,0.302,1.646,1231
lifelines,2,2,31,4,300,9,135.162,0.559,1.364,158.334,0.674,2.187,153.665,0.491,1.124,1130
lifelines,4,4,31,4,300,9,139.661,0.39,1.517,182.015,0.485,2.044,181.922,1.311,1.985,2182
lifelines,8,8,31,4,300,9,151.541,0.266,0.995,228.746,0.753,3.013,236.308,0.706,1.81,4286
lifelines,16,16,31,4,300,9,168.966,0.525,1.832,318.231,2.145,4.385,342.238,0.189,1.771,8519
lifelines,32,32,31,4,300,9,208.528,0.929,3.234,505.918,2.649,5.657,557.008,9.707,28.729,16999
subformulas,7,8,7,4,300,9,56.964,0.546,1.093,94.518,0.494,1.331,102.27,0.647,1.33,1910
subformulas,15,8,15,4,300,9,89.443,0.286,1.431,141.42,0.71,2.693,148.907,0.681,1.741,2686
subformulas,63,8,63,4,300,9,273.217,0.875,3.977,395.863,1.412,7.399,407.983,2.019,4.227,7486
subformulas,127,8,127,4,300,9,521.289,2.912,6.394,753.76,3.781,6.675,764.274,3.121,7.192,14102
variables,1,8,255,1,300,9,998.033,4.854,7.34,1429.687,5.651,9.937,1447.989,3.024,9.528,27254
variables,4,8,255,4,300,9,1011.44,2.08,9.159,1461.912,5.164,9.008,1477.458,4.437,9.436,27926
variables,16,8,255,16,300,9,1094.522,3.0,9.069,1588.397,2.48,9.506,1601.598,4.356,9.684,30710
variables,64,8,255,64,300,9,1506.353,2.268,5.467,2219.657,6.768,16.658,2195.545,3.091,11.046,42230
variables,128,8,255,128,300,9,1976.473,4.873,13.104,2979.484,4.609,18.848,2902.64,7.158,29.785,58038
